
Profile Time: 00:30:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:18:29   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.67
02/19/18 00:18:32   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.67
02/19/18 00:18:14   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:18:15   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.62
02/19/18 00:18:16   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.58
02/19/18 00:18:17   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.61
02/19/18 00:18:18   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.60
02/19/18 00:18:21   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.54
02/19/18 00:18:22   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.54
02/19/18 00:18:23   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.58
02/19/18 00:18:24   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.60
02/19/18 00:18:25   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.59
02/19/18 00:18:26   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.60
02/19/18 00:18:27   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.63
02/19/18 00:18:28   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.67
02/19/18 00:18:30   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.65
02/19/18 00:18:31   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.64
02/19/18 00:18:33   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.67
02/19/18 00:18:34   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.65
02/19/18 00:18:35   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.65
02/19/18 00:18:36   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.63

Profile Time: 04:00:00
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:20:55   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:20:56   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:20:57   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.52
02/19/18 00:20:58   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.52
02/19/18 00:20:59   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.54
02/19/18 00:21:00   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:21:02   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.52
02/19/18 00:21:03   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:21:04   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:21:05   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:21:06   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:21:07   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:21:09   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:21:10   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.52
02/19/18 00:21:11   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.52
02/19/18 00:21:12   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:21:13   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:21:14   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:21:15   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:21:16   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:21:17   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:21:18   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:21:19   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:21:01   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.52
02/19/18 00:21:08   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.51

Profile Time: 04:30:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:23:43   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.48
02/19/18 00:23:37   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48
02/19/18 00:23:38   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:23:40   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:23:42   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:23:44   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
