
Profile Time: 00:00:01
Profile Date: 12/25/2017
Profile Location: jlnewhope Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/25/17 00:02:03   NaN    NaN    NaN   2.175  7.66    23.5  81.3    NaN
12/25/17 00:02:04   NaN    NaN    NaN   2.193  7.66    23.5  81.5    NaN
12/25/17 00:02:05   NaN    NaN    NaN   2.213  7.66    23.4  81.8    NaN
12/25/17 00:02:06   NaN    NaN    NaN   2.234  7.66    23.4  82.2    NaN
12/25/17 00:02:07   NaN    NaN    NaN   2.253  7.66    23.3  82.6    NaN
12/25/17 00:02:08   NaN    NaN    NaN   2.274  7.66    23.1  83.0    NaN
12/25/17 00:02:09   NaN    NaN    NaN   2.292  7.65    23.0  83.5    NaN
12/25/17 00:02:10   NaN    NaN    NaN   2.315  7.65    22.9  83.9    NaN
12/25/17 00:02:11   NaN    NaN    NaN   2.333  7.65    22.7  84.2    NaN
12/25/17 00:02:12   NaN    NaN    NaN   2.351  7.65    22.6  84.5    NaN
12/25/17 00:02:13   NaN    NaN    NaN   2.370  7.65    22.5  84.7    NaN
12/25/17 00:02:14   NaN    NaN    NaN   2.391  7.65    22.4  84.9    NaN
12/25/17 00:02:15   NaN    NaN    NaN   2.411  7.65    22.4  85.0    NaN
12/25/17 00:02:16   NaN    NaN    NaN   2.431  7.65    22.4  85.1    NaN
12/25/17 00:02:17   NaN    NaN    NaN   2.450  7.65    22.4  85.1    NaN
12/25/17 00:02:18   NaN    NaN    NaN   2.472  7.65    22.5  85.2    NaN
12/25/17 00:02:19   NaN    NaN    NaN   2.490  7.65    22.6  85.2    NaN
12/25/17 00:02:20   NaN    NaN    NaN   2.511  7.65    22.8  85.2    NaN
12/25/17 00:02:21   NaN    NaN    NaN   2.528  7.65    22.9  85.3    NaN
12/25/17 00:02:22   NaN    NaN    NaN   2.547  7.65    23.1  85.4    NaN
