
Profile Time: 00:00:00
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 05:30:34 26.09   0.10   0.05   0.408  8.71     9.7  16.7  11.03
06/01/17 05:30:35 26.09   0.10   0.05   0.426  8.71     9.8  17.0  11.02

Profile Time: 08:16:10
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 08:16:13 26.49   0.10   0.05   0.049  8.59     8.4  14.0  10.01
06/01/17 08:16:17 26.49   0.10   0.05   0.049  8.62     8.4  15.5  10.34
06/01/17 08:16:21 26.48   0.10   0.05   0.050  8.64     8.6  15.8  10.59
06/01/17 08:16:22 26.48   0.10   0.05   0.050  8.65     8.6  15.8  10.63
06/01/17 08:16:14 26.49   0.10   0.05   0.051  8.59     8.4  14.5  10.11
06/01/17 08:16:16 26.49   0.10   0.05   0.051  8.61     8.4  15.2  10.27
06/01/17 08:16:12 26.49   0.10   0.05   0.052  8.58     8.5  13.5   9.92
06/01/17 08:16:18 26.48   0.10   0.05   0.052  8.63     8.4  15.6  10.41
06/01/17 08:16:15 26.50   0.10   0.05   0.053  8.60     8.4  14.9  10.20
06/01/17 08:16:19 26.48   0.10   0.05   0.053  8.63     8.5  15.8  10.47
06/01/17 08:16:20 26.48   0.10   0.05   0.053  8.64     8.5  15.8  10.53
06/01/17 08:16:23 26.48   0.10   0.05   0.053  8.66     8.7  15.8  10.69
06/01/17 08:16:11 26.48   0.10   0.05   0.054  8.57     8.5  13.0   9.80
06/01/17 08:16:24 26.49   0.10   0.05   0.055  8.66     8.8  15.8  10.73
06/01/17 08:16:25 26.50   0.10   0.05   0.071  8.66     8.9  15.8  10.77
06/01/17 08:16:26 26.51   0.10   0.05   0.088  8.67     9.0  15.8  10.82
06/01/17 08:16:27 26.52   0.10   0.05   0.105  8.67     9.0  15.8  10.86
06/01/17 08:16:28 26.53   0.10   0.05   0.123  8.67     9.1  15.8  10.90
06/01/17 08:16:29 26.54   0.10   0.05   0.138  8.68     9.1  15.9  10.93
06/01/17 08:16:30 26.55   0.10   0.05   0.154  8.68     9.2  15.9  10.96
06/01/17 08:16:31 26.55   0.10   0.05   0.171  8.69     9.2  16.0  10.99
06/01/17 08:16:32 26.56   0.10   0.05   0.187  8.69     9.2  16.0  11.02
06/01/17 08:16:33 26.56   0.10   0.05   0.202  8.70     9.2  16.0  11.04
06/01/17 08:16:34 26.55   0.10   0.05   0.223  8.70     9.1  16.0  11.07
06/01/17 08:16:35 26.55   0.10   0.05   0.240  8.70     9.1  15.9  11.09
06/01/17 08:16:36 26.55   0.11   0.05   0.255  8.70     9.1  15.9  11.11
06/01/17 08:16:37 26.55   0.11   0.05   0.271  8.71     9.0  15.8  11.12
