
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:13:56  9.69   0.08   0.04   1.546  7.60    23.1   5.3   9.27
12/01/18 01:13:57  9.67   0.08   0.04   1.563  7.59    23.1   5.2   9.27
12/01/18 01:13:58  9.66   0.08   0.04   1.583  7.59    23.1   5.0   9.28
12/01/18 01:13:59  9.65   0.08   0.04   1.603  7.59    23.1   5.0   9.29
12/01/18 01:14:00  9.63   0.08   0.04   1.622  7.59    23.1   4.9   9.29
12/01/18 01:14:01  9.61   0.08   0.04   1.641  7.59    23.2   4.9   9.30
12/01/18 01:14:02  9.59   0.08   0.04   1.661  7.59    23.2   4.9   9.31
12/01/18 01:14:03  9.58   0.08   0.04   1.678  7.59    23.2   5.0   9.32
12/01/18 01:14:04  9.57   0.08   0.04   1.697  7.59    23.2   5.1   9.32
12/01/18 01:14:05  9.56   0.08   0.04   1.721  7.59    23.3   5.2   9.32
12/01/18 01:14:06  9.55   0.08   0.04   1.736  7.58    23.3   5.4   9.32
12/01/18 01:14:07  9.55   0.08   0.04   1.757  7.58    23.4   5.5   9.33
12/01/18 01:14:08  9.53   0.08   0.04   1.777  7.58    23.4   5.7   9.34
12/01/18 01:14:09  9.52   0.08   0.04   1.795  7.58    23.5   5.9   9.34
12/01/18 01:14:10  9.51   0.08   0.04   1.815  7.58    23.5   6.0   9.35
12/01/18 01:14:11  9.50   0.08   0.04   1.839  7.58    23.5   6.2   9.35
12/01/18 01:14:12  9.50   0.08   0.04   1.856  7.58    23.6   6.3   9.35
12/01/18 01:14:13  9.50   0.08   0.04   1.875  7.58    23.6   6.4   9.36
12/01/18 01:14:14  9.49   0.08   0.04   1.897  7.58    23.6   6.5   9.36
12/01/18 01:14:15  9.49   0.08   0.04   1.915  7.58    23.6   6.6   9.37
12/01/18 01:14:16  9.48   0.08   0.04   1.935  7.58    23.6   6.8   9.38
12/01/18 01:14:17  9.47   0.08   0.04   1.959  7.58    23.6   6.9   9.38
12/01/18 01:14:18  9.47   0.08   0.04   1.974  7.58    23.6   7.0   9.39
12/01/18 01:14:19  9.47   0.08   0.04   1.993  7.58    23.6   7.2   9.40
12/01/18 01:14:20  9.46   0.08   0.04   2.015  7.58    23.6   7.3   9.40
12/01/18 01:14:21  9.46   0.08   0.04   2.032  7.58    23.6   7.5   9.41
12/01/18 01:14:22  9.46   0.08   0.04   2.050  7.58    23.7   7.7   9.41
12/01/18 01:14:23  9.46   0.08   0.04   2.072  7.58    23.7   7.9   9.42
12/01/18 01:14:24  9.46   0.08   0.04   2.088  7.58    23.8   8.0   9.42
12/01/18 01:14:25  9.46   0.08   0.04   2.107  7.57    23.8   8.1   9.42
12/01/18 01:14:26  9.46   0.08   0.04   2.126  7.58    23.9   8.2   9.42
12/01/18 01:14:27  9.45   0.08   0.04   2.146  7.58    24.0   8.2   9.43
12/01/18 01:14:28  9.45   0.08   0.04   2.163  7.57    24.0   8.2   9.44
12/01/18 01:14:29  9.45   0.08   0.04   2.187  7.57    24.1   8.1   9.44
12/01/18 01:14:30  9.45   0.08   0.04   2.205  7.57    24.1   8.0   9.44
12/01/18 01:14:31  9.45   0.08   0.04   2.223  7.57    24.2   7.8   9.44
12/01/18 01:14:32  9.44   0.08   0.04   2.244  7.57    24.2   7.5   9.45
12/01/18 01:14:33  9.44   0.08   0.04   2.265  7.57    24.2   7.2   9.46
12/01/18 01:14:34  9.44   0.08   0.04   2.284  7.57    24.2   6.9   9.47
12/01/18 01:14:35  9.44   0.08   0.04   2.304  7.57    24.1   6.6   9.48
12/01/18 01:14:36  9.44   0.08   0.04   2.323  7.57    24.1   6.3   9.49
12/01/18 01:14:37  9.44   0.08   0.04   2.341  7.57    24.1   6.1   9.48
12/01/18 01:14:38  9.44   0.08   0.04   2.359  7.57    24.0   5.8   9.48
12/01/18 01:14:39  9.44   0.08   0.04   2.379  7.57    24.0   5.6   9.49
12/01/18 01:14:40  9.44   0.08   0.04   2.398  7.57    23.9   5.5   9.49
12/01/18 01:14:41  9.43   0.08   0.04   2.417  7.57    23.9   5.4   9.50
12/01/18 01:14:42  9.43   0.08   0.04   2.438  7.57    23.9   5.3   9.50
12/01/18 01:14:43  9.43   0.08   0.04   2.458  7.57    23.8   5.3   9.50
12/01/18 01:14:44  9.43   0.08   0.04   2.477  7.57    23.8   5.3   9.50
12/01/18 01:14:45  9.43   0.08   0.04   2.497  7.57    23.8   5.3   9.50
12/01/18 01:14:46  9.43   0.08   0.04   2.516  7.57    23.9   5.3   9.50
12/01/18 01:14:47  9.44   0.08   0.04   2.534  7.57    23.9   5.4   9.50
12/01/18 01:14:48  9.44   0.08   0.04   2.553  7.57    24.0   5.4   9.50
12/01/18 01:14:49  9.44   0.08   0.04   2.573  7.57    24.0   5.4   9.51
