
Profile Time: 00:14:58
Profile Date: 12/06/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky      
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/06/18 00:16:38 10.43   0.12   0.06   1.604  7.79    18.1   3.8  10.09
12/06/18 00:16:39 10.43   0.12   0.06   1.628  7.79    18.1   3.9  10.09
12/06/18 00:16:40 10.43   0.12   0.06   1.646  7.78    18.0   4.1  10.08
12/06/18 00:16:41 10.44   0.12   0.06   1.666  7.78    18.0   4.3  10.08
12/06/18 00:16:42 10.44   0.12   0.06   1.685  7.78    17.9   4.5  10.08
12/06/18 00:16:43 10.44   0.12   0.06   1.703  7.78    17.9   4.7  10.07
12/06/18 00:16:44 10.44   0.12   0.06   1.721  7.78    17.9   4.9  10.06
12/06/18 00:16:45 10.44   0.12   0.06   1.741  7.78    17.8   5.0  10.05
12/06/18 00:16:46 10.43   0.12   0.06   1.761  7.78    17.8   5.1  10.06
12/06/18 00:16:47 10.41   0.12   0.06   1.779  7.78    17.8   5.1  10.07
12/06/18 00:16:48 10.40   0.12   0.06   1.799  7.78    17.8   5.1  10.07
12/06/18 00:16:49 10.41   0.12   0.06   1.817  7.78    17.8   5.1  10.05
12/06/18 00:16:50 10.43   0.12   0.06   1.836  7.78    17.8   5.0  10.04
12/06/18 00:16:51 10.45   0.12   0.06   1.859  7.78    17.8   4.9  10.04
12/06/18 00:16:52 10.46   0.12   0.06   1.878  7.78    17.8   4.9  10.03
12/06/18 00:16:53 10.48   0.12   0.06   1.897  7.78    17.7   4.8  10.02
12/06/18 00:16:54 10.49   0.12   0.06   1.918  7.78    17.7   4.8  10.01
12/06/18 00:16:55 10.49   0.12   0.06   1.937  7.78    17.6   4.8  10.01
12/06/18 00:16:56 10.49   0.12   0.06   1.955  7.78    17.5   4.9  10.00
12/06/18 00:16:57 10.50   0.12   0.06   1.976  7.78    17.5   5.0  10.00
12/06/18 00:16:58 10.50   0.12   0.06   1.995  7.78    17.4   5.1  10.00
12/06/18 00:16:59 10.49   0.12   0.06   2.012  7.78    17.4   5.4  10.00
12/06/18 00:17:00 10.48   0.12   0.06   2.031  7.78    17.3   5.6  10.00
12/06/18 00:17:01 10.45   0.12   0.06   2.050  7.78    17.3   5.8  10.01
12/06/18 00:17:02 10.43   0.12   0.06   2.070  7.78    17.3   6.0  10.02
12/06/18 00:17:03 10.42   0.12   0.06   2.090  7.78    17.3   6.2  10.02
12/06/18 00:17:04 10.42   0.12   0.06   2.107  7.78    17.4   6.4  10.03
12/06/18 00:17:05 10.43   0.12   0.06   2.128  7.78    17.4   6.4  10.02
12/06/18 00:17:06 10.44   0.12   0.06   2.149  7.78    17.5   6.4  10.02
12/06/18 00:17:07 10.45   0.12   0.06   2.168  7.78    17.6   6.3  10.02
12/06/18 00:17:08 10.47   0.12   0.06   2.186  7.79    17.6   6.2  10.01
12/06/18 00:17:09 10.48   0.12   0.06   2.207  7.78    17.7   5.9  10.01
12/06/18 00:17:10 10.49   0.12   0.06   2.227  7.79    17.7   5.6   9.99
12/06/18 00:17:11 10.50   0.12   0.06   2.247  7.78    17.7   5.2   9.99
12/06/18 00:17:12 10.50   0.12   0.06   2.264  7.78    17.7   4.9   9.99
12/06/18 00:17:13 10.50   0.12   0.06   2.282  7.78    17.7   4.5   9.99
12/06/18 00:17:14 10.50   0.12   0.06   2.301  7.78    17.6   4.2   9.99
12/06/18 00:17:15 10.51   0.12   0.06   2.320  7.78    17.6   3.9   9.99
12/06/18 00:17:16 10.51   0.12   0.06   2.341  7.77    17.5   3.6   9.99
12/06/18 00:17:17 10.51   0.12   0.06   2.361  7.77    17.5   3.4  10.01
12/06/18 00:17:18 10.51   0.12   0.06   2.379  7.78    17.4   3.3  10.00
12/06/18 00:17:19 10.50   0.12   0.06   2.401  7.78    17.4   3.3  10.00
12/06/18 00:17:20 10.50   0.12   0.06   2.419  7.78    17.4   3.3  10.00
12/06/18 00:17:21 10.50   0.12   0.06   2.439  7.78    17.4   3.3  10.00
12/06/18 00:17:22 10.49   0.12   0.06   2.457  7.78    17.4   3.5  10.00
12/06/18 00:17:23 10.49   0.12   0.06   2.479  7.78    17.5   3.6  10.01
12/06/18 00:17:24 10.50   0.12   0.06   2.497  7.78    17.5   3.8  10.00
12/06/18 00:17:25 10.50   0.12   0.06   2.517  7.78    17.6   4.0   9.99
12/06/18 00:17:26 10.50   0.12   0.06   2.534  7.78    17.6   4.2   9.99
12/06/18 00:17:27 10.50   0.12   0.06   2.551  7.78    17.7   4.4   9.98
12/06/18 00:17:28 10.50   0.12   0.06   2.572  7.77    17.7   4.6   9.99
12/06/18 00:17:29 10.50   0.12   0.06   2.591  7.77    17.7   4.7   9.97
12/06/18 00:17:30 10.50   0.12   0.06   2.610  7.77    17.7   4.9   9.97
12/06/18 00:17:31 10.50   0.12   0.06   2.629  7.77    17.7   5.0   9.98
12/06/18 00:17:32 10.50   0.12   0.06   2.655  7.78    17.7   5.0   9.99
12/06/18 00:17:33 10.51   0.12   0.06   2.667  7.78    17.7   5.0   9.99
12/06/18 00:17:34 10.49   0.12   0.06   2.686  7.78    17.6   5.0  10.00
12/06/18 00:17:35 10.47   0.12   0.06   2.710  7.78    17.7   4.9  10.01
12/06/18 00:17:36 10.46   0.12   0.06   2.727  7.78    17.7   4.8  10.02
12/06/18 00:17:37 10.45   0.12   0.06   2.747  7.78    17.7   4.7  10.00
12/06/18 00:17:38 10.46   0.12   0.06   2.766  7.78    17.7   4.6  10.01
12/06/18 00:17:39 10.47   0.12   0.06   2.791  7.78    17.8   4.5   9.99
12/06/18 00:17:40 10.48   0.12   0.06   2.808  7.78    17.9   4.4   9.99
12/06/18 00:17:41 10.49   0.12   0.06   2.829  7.78    17.9   4.4   9.98
12/06/18 00:17:42 10.49   0.12   0.06   2.846  7.78    18.0   4.4   9.98
12/06/18 00:17:43 10.49   0.12   0.06   2.864  7.78    18.0   4.4   9.97
12/06/18 00:17:44 10.49   0.12   0.06   2.884  7.78    18.1   4.4   9.96
12/06/18 00:17:45 10.50   0.12   0.06   2.903  7.78    18.1   4.5   9.95
12/06/18 00:17:46 10.49   0.12   0.06   2.924  7.78    18.1   4.7   9.94
