
Profile Time: 03:07:27
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 06:00:35 14.96   0.12   0.06   0.051  8.79    16.0  13.5  11.31
03/30/19 06:00:36 14.96   0.12   0.06   0.051  8.79    16.0  13.4  11.32
03/30/19 06:00:39 14.96   0.12   0.06   0.051  8.78    15.8  12.6  11.42
03/30/19 06:00:26 14.96   0.12   0.06   0.052  8.82    16.0  11.8  11.36
03/30/19 06:00:33 14.95   0.12   0.06   0.052  8.80    16.0  13.4  11.31
03/30/19 06:00:11 14.94   0.12   0.06   0.053  8.86    17.2  10.6  11.32
03/30/19 06:00:18 14.96   0.12   0.06   0.053  8.84    16.4  12.0  11.32
03/30/19 06:00:29 14.95   0.12   0.06   0.053  8.81    16.0  12.4  11.35
03/30/19 06:00:42 14.96   0.12   0.06   0.053  8.78    15.6  11.3  11.43
03/30/19 06:00:14 14.95   0.12   0.06   0.054  8.85    16.9  11.6  11.31
03/30/19 06:00:28 14.95   0.12   0.06   0.054  8.81    16.0  12.1  11.34
03/30/19 06:00:31 14.95   0.12   0.06   0.054  8.80    16.0  12.9  11.33
03/30/19 06:00:37 14.96   0.12   0.06   0.054  8.79    15.9  13.3  11.35
03/30/19 06:00:25 14.97   0.12   0.06   0.056  8.82    16.0  11.6  11.35
03/30/19 06:00:38 14.96   0.12   0.06   0.056  8.79    15.9  13.0  11.41
03/30/19 06:00:34 14.95   0.12   0.06   0.057  8.79    16.0  13.5  11.32
03/30/19 06:00:41 14.96   0.12   0.06   0.057  8.78    15.7  11.8  11.42

Profile Time: 06:30:27
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 06:30:33 14.99   0.12   0.06   0.046  8.61    15.2  11.8  11.28
03/30/19 06:30:34 14.99   0.12   0.06   0.046  8.61    15.1  12.3  11.27
03/30/19 06:30:29 14.99   0.12   0.06   0.047  8.62    16.0   8.8  11.31
03/30/19 06:30:40 14.99   0.12   0.06   0.047  8.61    14.9  13.5  11.31
03/30/19 06:30:41 14.99   0.12   0.06   0.047  8.61    15.0  13.4  11.33
03/30/19 06:30:30 14.99   0.12   0.06   0.048  8.61    15.8   9.6  11.30
03/30/19 06:30:37 14.99   0.12   0.06   0.048  8.61    14.8  13.3  11.28
03/30/19 06:30:35 14.99   0.12   0.06   0.049  8.61    15.0  12.8  11.27
03/30/19 06:30:36 14.99   0.12   0.06   0.049  8.61    14.9  13.1  11.26
03/30/19 06:30:38 14.99   0.12   0.06   0.049  8.61    14.8  13.5  11.28
03/30/19 06:30:42 14.99   0.12   0.06   0.049  8.61    15.1  13.3  11.33
03/30/19 06:30:32 14.99   0.12   0.06   0.050  8.62    15.4  11.1  11.29
03/30/19 06:30:31 14.99   0.12   0.06   0.051  8.62    15.6  10.4  11.30
03/30/19 06:30:39 14.99   0.12   0.06   0.051  8.61    14.9  13.5  11.32
03/30/19 06:30:43 14.99   0.12   0.06   0.053  8.61    15.2  13.2  11.33
03/30/19 06:30:44 14.99   0.12   0.06   0.072  8.61    15.4  13.0  11.32
03/30/19 06:30:45 14.99   0.12   0.06   0.085  8.61    15.5  12.9  11.30
03/30/19 06:30:46 14.98   0.12   0.06   0.100  8.62    15.7  12.8  11.30
03/30/19 06:30:47 14.98   0.12   0.06   0.120  8.62    15.8  12.7  11.30
03/30/19 06:30:48 14.98   0.12   0.06   0.138  8.61    15.9  12.7  11.29
03/30/19 06:30:49 14.99   0.12   0.06   0.152  8.61    16.0  12.7  11.29
03/30/19 06:30:50 14.99   0.12   0.06   0.165  8.61    16.2  12.7  11.29
03/30/19 06:30:51 14.99   0.12   0.06   0.180  8.61    16.2  12.7  11.30
03/30/19 06:30:52 14.99   0.12   0.06   0.200  8.61    16.3  12.7  11.30
03/30/19 06:30:53 14.99   0.12   0.06   0.217  8.60    16.3  12.7  11.32
03/30/19 06:30:54 14.99   0.12   0.06   0.229  8.60    16.3  12.8  11.32
